Ten minute period number;Active occupant count in time period;Probability of transition to zero active occupants in next time period;Probability of transition to one active occupant in next time period;Probability of transition to two active occupants in next time period;Probability of transition to three active occupants in next time period;Probability of transition to four active occupants in next time period;Probability of transition to five active occupants in next time period;Probability of transition to six active occupants in next time period
65;1;0.035353535;0.934343434;0.03030303;0;0;0;0
65;2;0.038834951;0.048543689;0.883495146;0.029126214;0;0;0
65;3;0;0;0.15;0.85;0;0;0
65;4;0;0;0;0;0;0;0
65;5;0;0;0;0;0;0;0
65;6;0;0;0;0;0;0;0
66;0;0.967302452;0.029972752;0.002724796;0;0;0;0
66;1;0.080808081;0.883838384;0.035353535;0;0;0;0
66;2;0.029411765;0.088235294;0.852941176;0.029411765;0;0;0
66;3;0.05;0;0.15;0.8;0;0;0
66;4;0;0;0;0;0;0;0
66;5;0;0;0;0;0;0;0
66;6;0;0;0;0;0;0;0
67;0;0.965333333;0.032;0.002666667;0;0;0;0
67;1;0.046153846;0.928205128;0.025641026;0;0;0;0
67;2;0;0.030612245;0.93877551;0.030612245;0;0;0
67;3;0;0;0.105263158;0.894736842;0;0;0
67;4;0;0;0;0;0;0;0
67;5;0;0;0;0;0;0;0
67;6;0;0;0;0;0;0;0
68;0;0.970350404;0.026954178;0.002695418;0;0;0;0
68;1;0.035714286;0.954081633;0.010204082;0;0;0;0
68;2;0.01;0.12;0.85;0.02;0;0;0
68;3;0;0;0.1;0.9;0;0;0
68;4;0;0;0;0;0;0;0
68;5;0;0;0;0;0;0;0
68;6;0;0;0;0;0;0;0
69;0;0.970108696;0.029891304;0;0;0;0;0
69;1;0.04784689;0.918660287;0.028708134;0.004784689;0;0;0
69;2;0;0.077777778;0.888888889;0.033333333;0;0;0
69;3;0;0;0;1;0;0;0
69;4;0;0;0;0;0;0;0
69;5;0;0;0;0;0;0;0
69;6;0;0;0;0;0;0;0
70;0;0.975476839;0.019073569;0.005449591;0;0;0;0
70;1;0.066666667;0.9;0.033333333;0;0;0;0
70;2;0;0.081395349;0.895348837;0.023255814;0;0;0
70;3;0;0;0.125;0.875;0;0;0
70;4;0;0;0;0;0;0;0
70;5;0;0;0;0;0;0;0
70;6;0;0;0;0;0;0;0
71;0;0.970430108;0.029569892;0;0;0;0;0
71;1;0.068965517;0.901477833;0.024630542;0.004926108;0;0;0
71;2;0;0.033707865;0.95505618;0.011235955;0;0;0
71;3;0;0;0.173913043;0.826086957;0;0;0
71;4;0;0;0;0;0;0;0
71;5;0;0;0;0;0;0;0
71;6;0;0;0;0;0;0;0
72;0;0.925333333;0.072;0.002666667;0;0;0;0
72;1;0.065989848;0.888324873;0.045685279;0;0;0;0
72;2;0.010638298;0.063829787;0.882978723;0.042553191;0;0;0
72;3;0;0.047619048;0.19047619;0.761904762;0;0;0
72;4;0;0;0;0;0;0;0
72;5;0;0;0;0;0;0;0
72;6;0;0;0;0;0;0;0
73;0;0.950138504;0.038781163;0.011080332;0;0;0;0
73;1;0.023923445;0.918660287;0.057416268;0;0;0;0
73;2;0.010309278;0.041237113;0.917525773;0.030927835;0;0;0
73;3;0;0.05;0;0.95;0;0;0
73;4;0;0;0;0;0;0;0
73;5;0;0;0;0;0;0;0
73;6;0;0;0;0;0;0;0
74;0;0.945558739;0.045845272;0.008595989;0;0;0;0
74;1;0.042654028;0.909952607;0.047393365;0;0;0;0
74;2;0.00952381;0.066666667;0.876190476;0.047619048;0;0;0
74;3;0.045454545;0.045454545;0;0.909090909;0;0;0
74;4;0;0;0;0;0;0;0
74;5;0;0;0;0;0;0;0
74;6;0;0;0;0;0;0;0
75;0;0.947214076;0.049853372;0.002932551;0;0;0;0
75;1;0.074074074;0.893518519;0.032407407;0;0;0;0
75;2;0.028571429;0.057142857;0.857142857;0.057142857;0;0;0
75;3;0;0.04;0.08;0.88;0;0;0
75;4;0;0;0;0;0;0;0
75;5;0;0;0;0;0;0;0
75;6;0;0;0;0;0;0;0
76;0;0.947368421;0.049707602;0.002923977;0;0;0;0
76;1;0.02764977;0.935483871;0.032258065;0.004608295;0;0;0
76;2;0.01;0.06;0.9;0.03;0;0;0
76;3;0;0;0.107142857;0.892857143;0;0;0
76;4;0;0;0;0;0;0;0
76;5;0;0;0;0;0;0;0
76;6;0;0;0;0;0;0;0
77;0;0.951661631;0.048338369;0;0;0;0;0
77;1;0.044247788;0.924778761;0.026548673;0.004424779;0;0;0
77;2;0.02970297;0.079207921;0.871287129;0.01980198;0;0;0
77;3;0;0.068965517;0.103448276;0.827586207;0;0;0
77;4;0;0;0;0;0;0;0
77;5;0;0;0;0;0;0;0
77;6;0;0;0;0;0;0;0
78;0;0.884146341;0.109756098;0.006097561;0;0;0;0
78;1;0.119148936;0.791489362;0.076595745;0.012765957;0;0;0
78;2;0.030927835;0.154639175;0.793814433;0.020618557;0;0;0
78;3;0;0.111111111;0.185185185;0.703703704;0;0;0
78;4;0;0;0;0;0;0;0
78;5;0;0;0;0;0;0;0
78;6;0;0;0;0;0;0;0
79;0;0.943925234;0.052959502;0.003115265;0;0;0;0
79;1;0.045833333;0.916666667;0.033333333;0.004166667;0;0;0
79;2;0.009803922;0.058823529;0.931372549;0;0;0;0
79;3;0;0;0;1;0;0;0
79;4;0;0;0;0;0;0;0
79;5;0;0;0;0;0;0;0
79;6;0;0;0;0;0;0;0
80;0;0.958730159;0.041269841;0;0;0;0;0
80;1;0.049382716;0.909465021;0.037037037;0.004115226;0;0;0
80;2;0;0.067307692;0.923076923;0.009615385;0;0;0
80;3;0;0.04;0.08;0.88;0;0;0
80;4;0;0;0;0;0;0;0
80;5;0;0;0;0;0;0;0
80;6;0;0;0;0;0;0;0
81;0;0.945859873;0.050955414;0.003184713;0;0;0;0
81;1;0.070247934;0.917355372;0.012396694;0;0;0;0
81;2;0.018691589;0.08411215;0.878504673;0.018691589;0;0;0
81;3;0;0;0.25;0.75;0;0;0
81;4;0;0;0;0;0;0;0
