Ten minute period number;Active occupant count in time period;Probability of transition to zero active occupants in next time period;Probability of transition to one active occupant in next time period;Probability of transition to two active occupants in next time period;Probability of transition to three active occupants in next time period;Probability of transition to four active occupants in next time period;Probability of transition to five active occupants in next time period;Probability of transition to six active occupants in next time period
51;3;0;0;0.133333333;0.533333333;0.266666667;0.066666667;0
51;4;0;0;0;0;0.75;0.25;0
51;5;0;0;0;0.5;0;0.5;0
51;6;0;0;0;0;0;0;0
52;0;0.9375;0.0625;0;0;0;0;0
52;1;0.033333333;0.766666667;0.166666667;0.033333333;0;0;0
52;2;0;0.037037037;0.814814815;0.148148148;0;0;0
52;3;0;0.090909091;0.090909091;0.636363636;0.181818182;0;0
52;4;0;0;0;0;0.875;0.125;0
52;5;0;0;0;0;0;1;0
52;6;0;0;0;0;0;0;0
53;0;0.891304348;0.108695652;0;0;0;0;0
53;1;0.035714286;0.892857143;0.071428571;0;0;0;0
53;2;0.035714286;0.107142857;0.75;0.107142857;0;0;0
53;3;0;0.083333333;0;0.75;0.166666667;0;0
53;4;0;0;0.111111111;0;0.888888889;0;0
53;5;0;0;0;0;0;1;0
53;6;0;0;0;0;0;0;0
54;0;0.720930233;0.23255814;0.023255814;0.023255814;0;0;0
54;1;0.117647059;0.647058824;0.176470588;0.058823529;0;0;0
54;2;0;0.041666667;0.666666667;0.25;0;0.041666667;0
54;3;0;0;0.083333333;0.583333333;0.166666667;0.166666667;0
54;4;0;0;0;0.1;0.9;0;0
54;5;0;0;0;0;0.2;0.8;0
54;6;0;0;0;0;0;0;0
55;0;0.828571429;0.171428571;0;0;0;0;0
55;1;0;0.878787879;0.090909091;0.03030303;0;0;0
55;2;0;0.041666667;0.791666667;0.083333333;0.083333333;0;0
55;3;0;0.058823529;0.058823529;0.823529412;0.058823529;0;0
55;4;0;0;0;0.5;0.5;0;0
55;5;0;0;0;0;0;1;0
55;6;0;0;0;0;0;0;0
56;0;0.862068966;0.137931034;0;0;0;0;0
56;1;0;0.783783784;0.189189189;0.027027027;0;0;0
56;2;0.043478261;0;0.782608696;0.130434783;0.043478261;0;0
56;3;0;0.043478261;0.043478261;0.739130435;0.130434783;0.043478261;0
56;4;0;0;0;0;0.888888889;0.111111111;0
56;5;0;0;0;0.142857143;0.142857143;0.714285714;0
56;6;0;0;0;0;0;0;0
57;0;0.884615385;0.076923077;0;0.038461538;0;0;0
57;1;0.058823529;0.705882353;0.176470588;0.029411765;0.029411765;0;0
57;2;0;0.038461538;0.923076923;0;0;0.038461538;0
57;3;0.045454545;0.090909091;0.045454545;0.681818182;0.090909091;0.045454545;0
57;4;0;0;0;0;0.846153846;0.153846154;0
57;5;0;0;0;0;0.285714286;0.714285714;0
57;6;0;0;0;0;0;0;0
58;0;0.961538462;0.038461538;0;0;0;0;0
58;1;0.034482759;0.896551724;0.068965517;0;0;0;0
58;2;0;0.032258065;0.838709677;0.129032258;0;0;0
58;3;0.058823529;0;0.058823529;0.882352941;0;0;0
58;4;0;0;0;0.0625;0.875;0.0625;0
58;5;0;0;0;0;0.222222222;0.777777778;0
58;6;0;0;0;0;0;0;0
59;0;0.851851852;0.148148148;0;0;0;0;0
59;1;0.178571429;0.535714286;0.25;0.035714286;0;0;0
59;2;0;0.137931034;0.75862069;0.034482759;0.034482759;0.034482759;0
59;3;0;0;0.05;0.85;0.1;0;0
59;4;0;0;0;0.1875;0.8125;0;0
59;5;0;0;0;0.25;0.125;0.625;0
59;6;0;0;0;0;0;0;0
60;0;0.607142857;0.285714286;0.071428571;0;0.035714286;0;0
60;1;0.130434783;0.47826087;0.304347826;0.086956522;0;0;0
60;2;0;0.033333333;0.533333333;0.333333333;0.1;0;0
