Occupancy Model;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Transition Probability Matrix;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
One resident house;;;;;;;;;;;;;;;
Weekday;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ten minute period number;Combined State  @t;Combined State  @t+1;;;;;;;;;;;;;
;;00;01;10;11;;;;;;;;;;
89;11;0;0.051724;0.025862;0.92241;;;;;;;;;;
90;00;0.8125;0.1875;0;0;;;;;;;;;;
90;01;0.0079523;0.94831;0;0.043738;;;;;;;;;;
90;10;0;0.028302;0.80189;0.16981;;;;;;;;;;
90;11;0;0.052265;0.02439;0.92334;;;;;;;;;;
91;00;0.80952;0.19048;0;0;;;;;;;;;;
91;01;0.0010101;0.97475;0.0010101;0.023232;;;;;;;;;;
91;10;0;0;0.86869;0.13131;;;;;;;;;;
91;11;0;0.030405;0.015203;0.95439;;;;;;;;;;
92;00;1;0;0;0;;;;;;;;;;
92;01;0.0040527;0.95846;0.0020263;0.035461;;;;;;;;;;
92;10;0;0;0.91667;0.083333;;;;;;;;;;
92;11;0;0.039933;0.013311;0.94676;;;;;;;;;;
93;00;0.95455;0;0;0.045455;;;;;;;;;;
93;01;0.0020619;0.94639;0.0010309;0.050515;;;;;;;;;;
93;10;0;0.010204;0.78571;0.20408;;;;;;;;;;
93;11;0.001634;0.045752;0.017974;0.93464;;;;;;;;;;
94;00;0.91667;0.083333;0;0;;;;;;;;;;
94;01;0.0021119;0.94826;0.001056;0.048574;;;;;;;;;;
94;10;0;0.022472;0.88764;0.089888;;;;;;;;;;
94;11;0;0.020249;0.0093458;0.9704;;;;;;;;;;
95;00;0.875;0.125;0;0;;;;;;;;;;
95;01;0.0032787;0.94863;0.0010929;0.046995;;;;;;;;;;
95;10;0;0;0.7907;0.2093;;;;;;;;;;
95;11;0.0014771;0.029542;0.0088626;0.96012;;;;;;;;;;
96;00;0.68;0.2;0;0.12;;;;;;;;;;
