,Avg T,Min T,Climate Zone,PLZ,Place,Lat,Lng
199,6.8,-12,6,58675,Hemer,51.3734917,7.7669714999999995
200,8.5,-14,4,16761,Hennigsdorf b. Berlin,52.642208200000006,13.202978699999997
201,8.8,-14,7,36355,Herchenhain,50.494791299999996,9.3003942
202,6.8,-12,6,32049,Herford,52.13539549999999,8.7130931
203,8.8,-14,7,37293,Herleshausen,51.0060594,10.1648786
204,8.1,-10,5,44623,Herne,51.5389464,7.2251173
205,10.2,-14,12,76332,"Herrenalb, Bad",48.79780359999999,8.4426317
206,8.8,-14,7,36251,"Hersfeld, Bad",50.880385,9.7058593
207,8.1,-10,5,45699,"Herten, Westf.",51.58688,7.1548905
208,9.5,-14,4,6333,Hettstedt,51.66226899999999,11.4680169
209,8.1,-10,5,40721,Hilden,51.169053999999996,6.9153961
210,8.5,-14,3,31134,Hildesheim,52.146204299999994,9.9548938
211,6.8,-16,6,79862,Höchenschwand,47.7201968,8.169485
212,6.8,-18,15,83098,Höllenstein (Post Degerndorf am Inn),47.73150589999999,12.0755412
213,3.0,-18,11,95030,"Hof, Saale",50.31651,11.8687211
214,7.9,-14,13,97461,"Hofheim, Unterfr.",50.1384604,10.5374306
215,6.8,-12,6,58119,Hohenlimburg,51.3442574,7.5695827000000016
216,7.9,-16,13,82383,Hohenpeissenberg,47.80534660000001,11.004653
217,8.8,-12,7,37603,Holzminden,51.784752000000005,9.516193199999998
218,8.1,-10,5,47198,"Homberg, Niederrh.",51.4549865,6.7062151
219,6.3,-12,10,61348,"Homburg, Bad",50.2279312,8.614208699999999
220,6.8,-12,6,66424,"Homburg, Saar",49.32535370000001,7.344804700000001
221,9.5,-16,4,2977,Hoyerswerda,51.424958000000004,14.1861706
222,8.1,-10,5,41836,Hückelhoven,51.0454321,6.2222548999999985
223,8.1,-10,5,50354,Hürth,50.8631453,6.8596159
224,9.0,-10,1,25813,"Husum, Nordsee",54.45665200000001,9.059328500000001
225,8.1,-12,5,49477,Ibbenbüren,52.275000799999994,7.7099696
226,6.8,-12,6,55743,Idar-Oberstein,49.7142606,7.344785799999999
227,7.9,-16,13,98693,Ilmenau,50.699893700000004,10.906560699999998
228,7.9,-16,13,85049,Ingolstadt,48.7557151,11.3364793
229,6.3,-16,10,98599,Inselsberg,50.8285188,10.4236579
230,6.8,-12,6,58638,Iserlohn,51.3833068,7.6846070000000015
231,9.0,-12,1,25524,Itzehoe,53.93669670000001,9.5192039
232,7.9,-14,9,7743,Jena,50.96389749999999,11.602487199999999
233,10.2,-12,12,63796,Kahl am Main,50.0861406,9.011824699999998
234,6.8,-12,6,67655,Kaiserslautern,49.44282740000001,7.772926799999999
235,8.1,-12,5,59174,"Kamen, Westf.",51.5916471,7.6645865
236,9.5,-16,4,1917,Kamenz,51.2841235,14.1133767
237,8.1,-10,5,47475,Kamp-Lintford,51.513349100000006,6.5136635
238,7.9,-16,13,86668,Karlshuld,48.680062899999996,11.279289599999998
239,10.2,-12,12,76131,Karlsruhe,49.0116951,8.4303821
240,8.8,-12,7,34117,Kassel,51.31705359999999,9.4924552
241,6.8,-16,15,87600,Kaufbeuren,47.876303,10.626063400000001
242,6.8,-16,15,87435,"Kempten, Allgäu",47.715242100000005,10.314892599999999
243,8.4,-10,2,24103,Kiel,54.323924,10.131544199999999
244,6.8,-16,6,73230,"Kirchheim, Teck",48.6425125,9.4594184
245,7.9,-14,13,97688,"Kissingen, Bad",50.21243639999999,10.0588367
246,8.1,-10,5,47533,"Kleve, Niederrhein",51.8091567,6.128008400000001
247,3.0,-16,11,78588,"Klippeneck (Denkingen, Württ.)",48.108871,8.739117
248,8.1,-12,5,56068,Koblenz,50.3511528,7.5951958999999984
249,6.8,-16,15,82433,"Kohlgrub, Bad",47.666831099999996,11.050578100000001
250,8.1,-10,5,50667,Köln,50.9386437,6.953884700000001
251,6.3,-12,10,61462,"Königstein, Taunus",50.1900341,8.460134499999999
252,9.5,-14,4,15711,Königs Wusterhausen,52.2948636,13.626718900000002
253,7.9,-12,13,78464,Konstanz,47.675500899999996,9.1980125
254,10.2,-12,12,70806,Kornwestheim,48.8629127,9.178473
255,9.5,-14,4,6366,Köthen/Anhalt,51.73979509999999,11.9707612
256,8.1,-10,5,47798,Krefeld,51.3289104,6.5599075
257,10.2,-12,12,55543,"Kreuznach, Bad",49.828717499999996,7.870710000000001
258,7.9,-16,13,96317,Kronach,50.2420979,11.3113054
259,7.9,-16,13,95326,Kulmbach,50.125977899999995,11.431135699999999
260,7.9,-14,13,74653,Künzelsau,49.304312700000004,9.6979593
261,10.2,-12,12,77933,"Lahr, Schwarzwald",48.33915,7.878148700000001
262,10.2,-12,12,68623,"Lampertheim, Hessen",49.5941455,8.4962394
263,6.8,-12,6,76829,"Landau, Pfalz",49.193521000000004,8.0948586
264,7.9,-16,13,84028,"Landshut, Bay",48.5390097,12.1581336
265,6.8,-12,6,63225,"Langen, Hessen",49.9886686,8.6628091
266,8.1,-10,5,40764,"Langenfeld, Rheinl.",51.118984999999995,6.962567699999999
267,8.5,-14,3,37115,"Langenhagen, Ha.",51.5130031,10.2136579
268,9.0,-10,1,26465,Langeoog,53.74736919999999,7.492568200000001
269,9.5,-16,4,1979,Lauchhammer,51.500451399999996,13.739936300000002
270,8.5,-10,3,26789,"Leer, Ostfriesland",53.255197100000004,7.451357899999999
271,8.5,-14,3,31275,Lehrte,52.385206700000005,10.0164773
272,8.7,-14,4,4103,Leipzig,51.3302732,12.389181800000001
273,6.8,-12,6,32657,Lemgo,52.03535000000001,8.9070006
274,8.5,-12,3,49525,"Lengerich, Westf.",52.16494059999999,7.839039699999999
275,6.8,-12,6,71229,"Leonberg, Württ.",48.801163700000004,8.997988000000001
276,6.8,-12,6,58642,Letmathe,51.3656583,7.610033499999999
277,8.1,-10,5,51371,Leverkusen,51.062498600000005,6.9418571
278,6.3,-14,10,9212,Limbach-Oberfrohna,50.867631599999996,12.7159205
279,7.9,-12,13,88131,"Lindau, Bodensee",47.56270869999999,9.6765519
280,8.1,-10,5,49808,"Lingen, Ems",52.55341429999999,7.2909096999999985
281,6.8,-12,6,59555,Lippstadt,51.6800523,8.3456644
282,9.0,-10,1,25992,List auf Sylt,55.0186448,8.4062649
283,7.9,-16,9,2708,Löbau,51.0773984,14.6555802
